DLHRWAGE,DEDUC1,AGE,AGESQ,LHRWAGEH,WHITEH,MALEH,EDUCH,LHRWAGEL,WHITEL,MALEL,EDUCL,DEDUC2,DTEN,DMARRIED,DUNCOV
,1,28.900752909,835.25351871,2.1498223384,1,1,15,,1,1,14,-1,0,0,0
,0,30.006844627,900.41072447,2.5649493575,1,1,12,,1,1,12,0,0,0,0
-0.494696242,0,33.639972621,1131.647758,2.302585093,1,0,12,2.7972813348,1,0,12,0,-6.5,-1,-1
0.4970323016,2,24.640657084,607.16198154,2.4849066498,1,0,16,1.9878743482,1,0,14,-2,-1,0,-1
0.1670540847,0,46.36550308,2149.7598759,1.9671123567,1,0,12,1.800058272,1,0,12,0,1,0,0
-1.446918983,-5,43.854893908,1923.2517197,2.0794415417,1,1,15,3.5263605246,1,1,20,-6,-2,0,0
2.0149030205,0,61.872689938,3828.2297602,3.624340933,0,1,12,1.6094379124,0,1,12,0,25,0,1
1.5040773968,0,24.117727584,581.66478381,3.1135153092,1,1,16,1.6094379124,1,1,16,0,1.5,0,1
,0,61.516769336,3784.3129095,3.2188758249,1,1,12,,1,1,12,0,30,0,1
0.087011377,3,32.594113621,1062.3762427,2.4849066498,1,1,14,2.3978952728,1,1,11,1,-1.5,1,-1
0.2876820725,0,53.853524983,2900.2021531,2.7725887222,1,1,12,2.4849066498,1,1,12,0,24,0,0
-0.382992252,-2,44.019164956,1937.6868834,2.7080502011,1,1,16,3.0910424534,1,1,18,2,14.75,-1,1
-0.478035801,-6,39.619438741,1569.6999261,2.7408400239,0,1,12,3.2188758249,0,1,18,-4,-1,0,0
1.0340737675,0,22.072553046,487.19759796,2.9311937524,0,1,16,1.8971199849,0,1,16,0,0.083,0,0
0.2719337155,0,38.026009582,1445.9774048,2.7080502011,1,0,12,2.4361164856,1,0,12,0,0.5,0,0
-1.071583616,-2,53.637234771,2876.9529538,1.9241486573,1,1,12,2.9957322736,1,1,14,-2,-19,0,0
0.1082164418,0,28.323066393,802.1960899,2.7080502011,1,0,16,2.5998337593,1,0,16,0,2,0,-1
0.145851877,0,29.861738535,891.72342835,1.9459101491,1,0,12,1.800058272,1,0,12,-1,-7,0,0
-0.348306694,-2,36.985626283,1367.9365516,2.302585093,1,1,14,2.6508917873,1,1,16,-2,-2,0,0
0.6004377825,0,44.232717317,1956.5332812,3.7297014486,0,0,18,3.1292636662,0,0,18,-2,-4,0,0
-0.133912418,0,22.154688569,490.83022561,1.4109869737,1,0,16,1.5448993913,1,0,16,0,-1.875,0,0
-0.096387521,0,40.049281314,1603.9449338,2.9957322736,1,0,13,3.0921197949,1,0,13,0,0,0,0
-0.510825624,-1,53.664613279,2879.8907183,4.0551228491,1,1,14,4.5659484728,1,1,15,1,-12,0,0
0.5500516703,-1,35.20054757,1239.0785492,2.9957322736,1,0,16,2.4456806033,1,0,17,0,-3.5,0,0
0.2468600779,-4,61.158110883,3740.3145268,2.7725887222,1,1,12,2.5257286443,1,1,16,-4,24.5,0,1
0.2776317366,0,37.2183436,1385.2051003,1.887069649,1,1,12,1.6094379124,1,1,12,-1,-14.25,0,0
0.1823215568,0,52.933607118,2801.9667626,3.6888794541,1,1,20,3.5065578973,1,1,20,-1,21,0,1
0.2772107726,0,23.890485969,570.75531981,2.2512917986,1,1,14,1.974081026,1,1,14,0,1,0,0
0.1670540847,0,35.608487337,1267.9643705,2.5649493575,1,1,14,2.3978952728,1,1,14,0,0,0,0
0.2932150402,0,58.132785763,3379.4207806,2.3292270239,1,1,12,2.0360119838,1,1,12,0,21,0,1
-0.123858579,2,63.718001369,4059.9836985,2.7080502011,1,1,15,2.8319087804,1,1,13,1,-3,0,0
-1.272965676,-3,42.0862423,1771.2517909,2.6390573296,1,1,16,3.9120230054,1,1,19,-3,-13,-1,0
0.1133286853,1,23.000684463,529.03148575,2.6390573296,1,1,14,2.5257286443,1,1,13,1,-3.5,0,1
0,0,19.898699521,395.95824262,1.7917594692,1,1,13,1.7917594692,1,1,13,0,-0.084,0,0
0.3364722366,0,24.73100616,611.62266569,1.6094379124,1,1,18,1.2729656758,1,1,18,0,-0.148,0,0
0,0,28.736481862,825.78538979,2.4849066498,1,0,16,2.4849066498,1,0,16,0,4,-1,0
-0.317448897,-1,56.479123888,3189.8914351,2.3513752572,1,0,12,2.6688241546,1,0,13,5,4.5,1,0
0.0556889059,-1,61.470225873,3778.5886688,2.4849066498,1,0,13,2.4292177439,1,0,14,0,3,0,-1
0.3884236423,0,42.12183436,1774.2489299,3.3524072175,1,0,18,2.9639835752,1,0,18,0,1,0,0
-0.406894701,-2,33.741273101,1138.4735105,2.45530618,1,1,14,2.8622008809,1,1,16,-2,-4,0,0
-0.139761942,0,21.804243669,475.42504196,1.6094379124,1,1,13,1.7491998548,1,1,13,-2,-0.583,0,0
0,0,39.351129363,1548.5113822,2.3978952728,1,0,12,2.3978952728,1,0,12,0,0,1,0
,0,70.543463381,4976.3802258,1.7635885923,1,1,8,,1,1,8,0,-4,0,0
0,0,24.610540726,605.6787148,1.9459101491,1,1,18,1.9459101491,1,1,18,0,-0.5,0,0
0.3541718137,2,31.457905544,989.59982122,3.4011973817,1,0,16,3.0470255679,1,0,14,2,0.5,0,1
0.1017826943,1,30.652977413,939.60502427,2.0476928434,1,0,14,1.9459101491,1,0,13,-1,-0.333,-1,0
0.1612681476,0,31.898699521,1017.5270311,2.4638532406,1,0,15,2.302585093,1,0,15,1,2,0,0
0.6931471806,0,37.722108145,1422.9574429,1.6094379124,1,0,16,0.9162907319,1,0,16,0,-3.5,-1,0
-0.51366603,-1,33.590691307,1128.3345425,2.4203681287,0,0,15,2.9340341591,0,0,16,-4,4,1,1
0.1670540847,0,32.290212183,1042.6578029,3.4812400893,0,0,16,3.3141860047,0,0,16,0,4.5,0,0
-0.684692793,-2,33.46201232,1119.7062685,1.06784063,1,1,12,1.7525334227,1,1,14,0,0,0,0
,1,27.134839151,736.29949577,3.1675825305,1,0,20,,1,0,19,3,3,0,1
0,-1,30.819986311,949.87155619,2.7080502011,1,0,15,2.7080502011,1,0,16,-2,-2.981,0,1
0.0297419692,0,32.34770705,1046.3741514,1.8718021769,1,0,12,1.8420602077,1,0,12,0,3.5,0,0
,2,40.862422998,1669.7376133,,1,0,16,,1,0,14,-1,-0.5,0,0
1.9661128564,0,30.351813826,921.23260254,3.2188758249,1,0,12,1.2527629685,1,0,12,0,8.833,0,0
0.1736096162,3,44.706365503,1998.6591165,2.0794415417,1,0,18,1.9058319255,1,0,15,4,-0.833,0,0
-0.276253377,7,31.808350445,1011.771158,2.3978952728,1,1,19,2.6741486494,1,1,12,7,-9,0,0
2.1097468912,0,19.222450376,369.50259848,4.1196623702,1,1,12,2.009915479,1,1,12,0,3.25,0,0
0.2623642645,0,40.501026694,1640.3331633,2.4696391777,1,1,16,2.2072749132,1,1,16,0,-4,1,0
-0.500462837,0,61.957563313,3838.7396517,1.5789787049,1,0,13,2.0794415417,1,0,13,0,-17,0,1
-0.798507696,-1,26.669404517,711.25713732,1.6094379124,1,0,15,2.4079456087,1,0,16,-1,-0.461,0,0
,0,65.984941821,4354.0125471,,1,1,10,,1,1,10,0,3,0,-1
-0.001153403,0,44.848733744,2011.4089184,2.8524391037,1,1,13,2.8535925064,1,1,13,0,0,0,0
0.0148886125,0,29.185489391,851.79279098,2.3174737055,0,1,12,2.302585093,1,1,12,0,4.583,-1,0
,0,56.856947296,3232.7124559,,1,1,12,2.8033603809,1,1,12,0,-14.5,0,-1
,-2,55.912388775,3126.1952185,2.9957322736,1,1,12,,1,1,14,-1,29,0,1
,0,72,5184,,1,0,12,,1,0,12,0,-4,0,0
0.1383046714,-1,41.084188912,1687.9105785,2.4849066498,1,0,13,2.3466019784,1,0,14,4,2,0,1
-0.223143551,1,30.450376454,927.22542622,2.302585093,1,0,15,2.5257286443,0,0,14,0,-3,-1,0
-0.693147181,-4,51.841204654,2687.5105,2.0149030205,1,0,12,2.7080502011,1,0,16,-4,-2,1,0
0.4989911661,0,20.429842574,417.37846758,1.9459101491,1,0,14,1.4469189829,1,0,14,0,-1.917,0,0
0.0999746091,-4,32.358658453,1047.0827769,2.2690283095,1,0,12,2.1690537004,1,0,16,-4,12,0,0
-0.080487251,0,50.149212868,2514.9435513,1.9344157696,1,0,12,2.0149030205,1,0,12,0,13,-1,0
-0.980829253,-2,42.548939083,1810.4122171,2.4203681287,1,1,16,3.4011973817,1,1,18,-6,-0.5,-1,0
0.2657031657,0,27.748117728,769.95803742,2.1628231506,1,1,12,1.8971199849,1,1,12,0,,0,0
,-4,62.579055441,3916.1381799,,0,1,12,2.4849066498,0,1,16,0,-7.75,0,0
-0.627007378,-1,24.624229979,606.35270208,1.6094379124,1,1,15,2.2364452905,1,1,16,-1,-0.417,-1,1
-0.393042588,-1,57.686516085,3327.734138,2.0149030205,1,1,12,2.4079456087,1,1,13,0,1,0,-1
0.2513144283,0,42.850102669,1836.1312988,2.8903717579,1,1,16,2.6390573296,1,1,16,0,1,0,0
-0.470003629,0,37.284052019,1390.100535,1.6094379124,1,0,12,2.0794415417,1,0,12,0,-15.5,0,0
-0.980829253,0,45.393566051,2060.5758388,3.624340933,1,1,14,4.605170186,1,1,14,-2,-2,0,0
-0.051837282,2,32.843258042,1078.6795988,2.112634509,1,0,16,2.1644717909,1,0,14,-2,0,0,0
,0,28.692676249,823.26967034,,1,1,16,,1,1,16,0,-0.5,0,0
0,1,37.023956194,1370.7733323,2.3513752572,1,1,13,2.3513752572,1,1,12,1,-6.417,0,0
0,0,37.839835729,1431.853168,1.6094379124,1,1,14,1.6094379124,1,1,14,0,0,0,0
-0.047252885,0,31.066392882,965.12076667,1.8890878132,1,1,16,1.936340698,1,1,16,0,-0.3,0,0
0.1177830357,-3,30.149212868,908.97503655,1.9095425049,1,1,12,1.7917594692,1,1,15,2,6.5,0,0
,1,78.64202601,6184.5682549,,1,1,13,,1,1,12,-1,15,1,0
0.1177830357,2,37.850787132,1432.6820865,2.8903717579,1,1,15,2.7725887222,1,1,13,0,4,0,0
0,-1,21.741273101,472.68295604,1.6094379124,1,0,13,1.6094379124,1,0,14,1,0,0,0
-0.046520016,-2,42.770704997,1829.3332059,3.0445224377,1,1,14,3.0910424534,1,1,16,-3,-1.5,0,0
-0.117783036,0,33.037645448,1091.4860168,2.7725887222,1,1,15,2.8903717579,1,1,15,0,-8,0,-1
0.4812668215,-1,27.419575633,751.8331279,2.302585093,1,0,12,1.8213182715,1,0,13,0,4.5,0,0
,1,28.114989733,790.45264769,4.248495242,1,1,16,,1,1,15,2,1,0,0
0.3158529494,0,47.742642026,2279.3598676,2.1484344132,1,0,10,1.8325814637,1,0,10,0,7,0,0
,0,79.123887748,6260.5896124,,1,0,12,,1,0,12,0,26,0,0
-0.195744577,0,51.331964408,2634.97057,3.1010927892,1,1,18,3.2968373663,1,1,18,0,5,0,0
,0,34.351813826,1180.0471131,,1,0,12,1.7917594692,1,0,12,0,1.833,0,0
0.1823215568,-1,36.941820671,1364.6981145,2.7472709143,1,1,15,2.5649493575,1,1,16,-2,0,1,-1
0.1628404212,-1,33.407255305,1116.044707,2.3960754361,1,1,13,2.2332350149,1,1,14,0,-3.75,0,0
0.2425103538,0,34.866529774,1215.6748985,2.2246235515,1,1,14,1.9821131977,1,1,14,1,-2,-1,1
-0.693147181,0,31.030800821,962.91059961,1.8325814637,1,0,12,2.5257286443,1,0,12,0,-11.5,1,0
0,3,41.35797399,1710.4820126,2.8622008809,1,0,16,2.8622008809,1,0,13,3,4.333,-1,0
-0.724069091,-3,43.019849418,1850.707444,1.800058272,1,0,12,2.5241273629,1,0,15,-3,-18,0,0
-1.078809661,0,35.134839151,1234.4569222,1.4861396961,1,0,12,2.5649493575,1,0,12,0,-12,0,-1
,0,34.683093771,1202.9169936,,1,1,20,5.0074251471,1,1,20,0,2,0,0
0.6733445533,0,24.837782341,616.91543161,2.1202635362,1,1,12,1.4469189829,1,1,12,-1,3.583,0,0
-0.133531393,-2,28.531143053,814.02612389,1.9459101491,1,0,12,2.0794415417,1,0,14,0,-1,-1,0
-0.378984231,-2,27.277207392,744.04604312,1.8325814637,1,0,12,2.2115656946,1,0,14,-2,-2,-1,0
0.100916464,4,43.422313484,1885.4973083,3.258096538,1,0,20,3.157180074,1,0,16,4,1,-1,0
1.2809338455,2,31.767282683,1009.1602491,4.0943445622,1,1,18,2.8134107168,1,1,16,2,-6.5,0,1
,5,27.947980835,781.08963276,,1,0,18,1.6855024945,1,0,13,3,0.334,0,0
-0.421525916,5,32.446269678,1052.760416,1.9459101491,1,1,20,2.3674360653,1,1,15,2,-9,0,-1
0.4054651081,-1,22.472279261,505.00333517,2.0149030205,1,0,15,1.6094379124,1,0,16,-1,2.981,0,0
-0.510825624,-2,40.358658453,1628.8213121,2.0149030205,1,0,12,2.5257286443,1,0,14,-2,-19,0,0
1.3664917338,2,43.3045859,1875.28716,3.5065578973,1,0,18,2.1400661635,1,0,16,3,1,0,0
0.4654478127,0,50.548939083,2555.1952424,2.1701959049,1,0,12,1.7047480922,1,0,12,0,0,0,0
0.4620354596,1,44.219028063,1955.3224428,2.4079456087,1,0,13,1.9459101491,1,0,12,-1,3.75,1,0
0.7015154302,4,27.230663929,741.509058,3.1780538303,1,1,16,2.4765384001,1,1,12,4,-1,0,-1
0.5469306284,0,36.364134155,1322.3502528,2.4638532406,1,1,12,1.9169226122,1,1,12,0,15,0,0
0.6931471806,0,36.481861739,1330.9262359,2.302585093,1,0,12,1.6094379124,1,0,12,-2,0.667,0,0
0.2484629593,0,25.177275838,633.89521865,2.2633659798,1,1,16,2.0149030205,1,1,16,0,-2.583,0,0
,0,60.971937029,3717.5771051,,1,0,12,1.7917594692,1,0,12,0,23,0,0
0.1823215568,-2,64.13963039,4113.8921866,2.8903717579,1,1,16,2.7080502011,1,1,18,-2,22.458,0,0
,-1,64.459958932,4155.0863055,,0,0,11,,0,0,12,1,-21,1,1
,0,61.336071184,3762.1136283,,1,0,12,1.0986122887,1,0,12,1,13.5,1,0
0.1335313926,0,28.153319644,792.60940698,2.302585093,1,0,15,2.1690537004,1,0,15,1,1,-1,0
0.5198754593,0,50.05065024,2505.0675894,2.4477671028,1,0,12,1.9278916436,1,0,12,0,2.5,0,-1
0.0491220453,0,25.941136208,672.94254777,2.7990219793,1,0,12,2.749899934,1,0,12,0,0,0,0
0.6190392084,-7,31.208761123,973.9867708,2.5649493575,0,0,8,1.9459101491,1,0,15,7,-7,0,-1
0.2876820725,2,26.926762491,725.05053827,2.5902671654,1,1,16,2.302585093,1,1,14,2,-2.5,-1,0
1.32175584,1,25.541409993,652.36362444,1.8325814637,1,0,13,0.5108256238,1,0,12,1,0,0,0
,0,52.550308008,2761.5348718,,1,0,12,1.7837912996,1,0,12,0,0,0,0
0,0,40.873374401,1670.6327349,2.9957322736,0,1,12,2.9957322736,0,1,12,0,4.5,-1,0
,1,33.25119781,1105.6421558,2.2617630985,1,0,13,,1,0,12,0,-2,0,0
-0.057158414,0,48.249144422,2327.9799374,1.4469189829,1,0,12,1.5040773968,1,0,12,0,-2.993,0,0
-0.732367894,-1,37.281314168,1389.8963861,1.6094379124,1,0,12,2.3418058061,1,0,13,-1,-7.5,-1,0
,-1,70.600958248,4984.4953055,,1,1,12,1.9268868099,1,1,13,0,13,0,-1
-0.322773392,0,29.054072553,844.13913192,2.3513752572,1,1,13,2.6741486494,1,1,13,0,-3.5,0,0
-0.894651557,-4,30.22587269,913.60337987,1.6956156087,1,0,12,2.5902671654,1,0,16,-4,2.5,-1,1
,1,52.985626283,2807.4765926,2.6592600369,1,1,13,,1,1,12,0,3,0,0
-0.615957542,-1,37.374401095,1396.8458572,2.274414216,1,1,12,2.8903717579,1,1,13,0,-6,0,-1
0.2876820725,-1,21.927446954,480.81292993,1.8971199849,1,0,12,1.6094379124,1,0,13,0,1.75,0,0
0.3437715391,0,23.969883641,574.55532178,2.3586745596,1,0,16,2.0149030205,1,0,16,0,0.038,0,0
0.2844510519,0,36.372347707,1322.9476777,2.3321438952,1,1,18,2.0476928434,1,1,18,0,2,0,0
,0,22.299794661,497.28084193,,1,0,12,2.9957322736,1,0,12,0,0,0,0
0.0229275046,0,36.944558522,1364.9004044,2.7080502011,1,0,16,2.6851226965,1,0,16,0,1.5,1,0
0.5182606023,4,43.20054757,1866.2873104,2.4203681287,1,0,14,1.9021075264,1,0,10,3,14.67,1,0
0,0,18.7816564,352.75061712,1.4469189829,1,0,13,1.4469189829,1,0,13,0,-0.083,0,0
0.3101549283,2,36.621492129,1341.1336857,2.6127400213,1,0,14,2.302585093,1,0,12,2,1,0,0
0.3722506285,2,45.612594114,2080.5087418,3.1056111375,1,0,14,2.7333605091,1,0,12,2,-4,1,0
0.093011748,0,29.3908282,863.82078227,1.5040773968,1,0,12,1.4110656488,1,0,12,0,3.5,1,0
-0.087016892,-1,38.770704997,1503.1675659,3.0518195584,1,0,13,3.1388364505,1,0,14,-1,2,1,0
0.109904862,0,45.555099247,2075.2670674,3.0255944278,1,0,12,2.9156895659,1,0,12,0,-7,-1,0
,0,26.376454483,695.71735111,,1,1,16,2.9780773383,1,1,16,0,-0.5,0,0
0.8503327641,2,40.31211499,1625.0666149,1.7047480922,1,0,14,0.8544153282,1,0,12,2,2,0,0
-0.729514825,-2,28.413415469,807.32217861,2.0149030205,1,0,14,2.7444178453,1,0,16,-2,-2,0,0
-0.500775288,0,28.413415469,807.32217861,2.1972245773,1,0,16,2.6979998652,1,0,16,-2,3,0,0
